icd10_code,icd10_description,snomed_conceptId,snomed_term,read2_code,read2_term,Decision
,,3947004,High oxygen affinity hemoglobin polycythemia (disorder),,,
,,9426002,Erythrocytosis due to hydronephrosis (disorder),,,
,,15466007,Erythrocytosis due to cerebellar hemangioma (disorder),,,
,,28319009,Erythrocytosis due to cardiovascular disease (disorder),,,
,,34397005,Erythrocytosis due to uterine myoma (disorder),,,
,,40679002,Erythrocytosis due to alveolar hypoventilation (disorder),,,
,,42616006,Erythrocytosis due to hepatoma (disorder),,,
,,43918003,Erythrocytosis due to renal tumor (disorder),,,
,,44456000,Inappropriate secondary erythrocytosis (disorder),,,
,,48250002,Gaisbock's syndrome (disorder),,,
,,71716005,Erythrocytosis due to renal cyst (disorder),,,
,,75063005,Hemoglobinopathy with erythrocytosis (disorder),,,
,,78578005,Erythrocytosis due to pulmonary disease (disorder),,,
,,80511004,Erythrocytosis due to endocrine disorder (disorder),,,
,,90501009,Erythrocytosis due to defective oxygen transport (disorder),,,
,,127062003,Erythrocytosis (disorder),,,
,,127063008,Erythrocytosis due to cyanotic congenital heart disease (disorder),,,
,,191372008,Polycythemia due to cyanotic heart disease (disorder),,,
,,191373003,Polycythemia due to cyanotic respiratory disease (disorder),,,
,,234400004,Secondary polycythemia without excess erythropoietin (disorder),,,
,,367328005,Secondary polycythemia with excess erythropoietin (disorder),,,
,,414127000,Erythrocytosis due to polycythemia vera (disorder),,,
,,770407006,Chuvash erythrocytosis (disorder),,,
,,783202008,Autosomal dominant secondary polycythemia (disorder),,,
,,783766005,Autosomal recessive secondary polycythemia not associated with Von Hippel Lindau gene (disorder),,,
,,11888009,Hyperviscosity syndrome (disorder),,,
,,109346000,Osteoporotic bone marrow defect (disorder),,,
,,123728005,Recurrent bone marrow hyperplasia (disorder),,,
,,234341005,Alcohol-related macrocytosis (disorder),,,
,,234365008,Thiamine-responsive macrocytosis (disorder),,,
,,234411007,Blood group deletion syndrome (disorder),,,
,,234412000,Abnormal cation transport syndrome (disorder),,,
,,276268001,T-cell mediated cytopenia (disorder),,,
,,720950009,Familial thrombocytosis (disorder),,,
,,733064004,"Osteosarcoma, limb anomalies, erythroid macrocytosis syndrome (disorder)",,,
,,230584000,Neuropathy in blood dyscrasias (disorder),,,
,,281351006,Arthritis due to bleeding disorder (disorder),,,
,,397015000,Systemic mastocytosis with associated clonal hematological non-mast cell lineage disease (disorder),,,
,,414022008,Disorder of cellular component of blood (disorder),,,
,,414026006,Disorder of hematopoietic cell proliferation (disorder),,,
,,414027002,Disorder of hematopoietic structure (disorder),,,
,,414393003,Hereditary disorder of cellular element of blood (disorder),,,
,,414394009,Hereditary red blood cell disorder (disorder),,,
,,428103008,Disorder of transplanted bone marrow (disorder),,,
,,697917003,Pulmonary hypertension due to hematological disorder (disorder),,,
,,709557000,Periodontitis co-occurrent with hematologic disorder (disorder),,,
,,710786004,Gingivitis due to disorder of cellular component of blood (disorder),,,
,,713694002,Disorder of cellular component of blood caused by antiretroviral drug (disorder),,,
,,3.66961E+14,Albinism co-occurrent with hematologic disorder (disorder),,,
,,234437005,Hemophagocytic lymphohistiocytosis (disorder),,,
,,398250003,Familial hemophagocytic lymphohistiocytosis (disorder),,,
,,782915004,Acquired hemophagocytic lymphohistiocytosis associated with malignant disease (disorder),,,
,,190959006,Hemophagocytic lymphohistiocytosis due to infection (disorder),,,
,,713444005,Hemophagocytic syndrome co-occurrent with human immunodeficiency virus infection (disorder),,,
,,6137007,Mucinous histiocytosis of the colon (disorder),,,
,,34287003,Sinus histiocytosis with massive lymphadenopathy (disorder),,,
,,37821003,Sea-blue histiocyte syndrome (disorder),,,
,,127068004,Histiocytic syndrome (disorder),,,
,,234436001,Hemolytic erythrophagocytic syndrome (disorder),,,
,,234577004,Lipochrome histiocytosis - familial (disorder),,,
,,402691004,Panniculitis secondary to histiocytic disorder (disorder),,,
,,404161006,Cutaneous reticulohistiocytosis (disorder),,,
,,404162004,Solitary reticulohistiocytoma (disorder),,,
,,404164003,Necrobiotic xanthogranuloma (disorder),,,
,,404165002,Necrobiotic xanthogranuloma with paraproteinemia (disorder),,,
,,404166001,Familial sea-blue histiocytosis (disorder),,,
,,404168000,Undetermined cell histiocytosis (disorder),,,
,,430478003,Macrophage activation syndrome (disorder),,,
,,699813007,Xanthogranuloma of choroid plexus (disorder),,,
,,710096000,Periodontitis co-occurrent and due to histiocytosis syndrome (disorder),,,
,,711159002,Histiocytosis-lymphadenopathy plus syndrome (disorder),,,
,,733205009,Dermal dendritic cell histiocytosis (disorder),,,
,,765141005,Progressive nodular histiocytosis (disorder),,,
,,771300001,Hereditary progressive mucinous histiocytosis (disorder),,,
,,1.4931E+13,Chronic histiocytosis (disorder),,,
